"STT","Module / Chức năng chính","Chi tiết công việc","Người phụ trách","Độ ưu tiên","Tình trạng"
"1","Khởi tạo Dự án & Database","Thiết kế Database (ERD), cấu trúc bảng cho Thiết bị, Lịch bảo trì, Lịch sử...","Khánh","Cao","Chưa bắt đầu"
"2","Khởi tạo Dự án & Database","Cài đặt thư viện, cấu trúc source code, setup môi trường","Khánh","Cao","Chưa bắt đầu"
"3","Quản lý Người dùng & Phân quyền","Đăng nhập, Đăng ký, Phân quyền (Admin, Kỹ thuật viên, Khách hàng)","Khánh","Cao","Chưa bắt đầu"
"4","Quản lý Thiết bị & Tình trạng","CRUD Thiết bị (Serial, NSX, Ngày mua, Ngày hết hạn bảo hành...)","Khánh","Cao","Chưa bắt đầu"
"5","Quản lý Thiết bị & Tình trạng","Cập nhật và theo dõi trạng thái (Đang chạy, Lỗi, Đang bảo trì...)","Khánh","Trung bình","Chưa bắt đầu"
"6","Lịch bảo trì phòng ngừa (Preventive)","Tạo kế hoạch bảo trì định kỳ (Theo tháng/quý/năm hoặc số giờ chạy)","Phúc","Cao","Chưa bắt đầu"
"7","Lịch bảo trì phòng ngừa (Preventive)","Quản lý công việc trên giao diện Lịch (Calendar View)","Phúc","Trung bình","Chưa bắt đầu"
"8","Nhắc nhở tự động (Auto-reminders)","Cronjob tự động gửi Email/SMS/Thông báo trước khi đến hạn bảo trì","Phúc","Cao","Chưa bắt đầu"
"9","Ghi nhận Lịch sử bảo dưỡng","Kỹ thuật viên cập nhật log bảo trì (Chi phí, vật tư, công việc đã làm)","Phúc","Cao","Chưa bắt đầu"
"10","Ghi nhận Lịch sử bảo dưỡng","Đánh giá trạng thái thiết bị sau bảo dưỡng","Phúc","Trung bình","Chưa bắt đầu"
"11","Quản lý Sự cố (Helpdesk/Ticket)","Chức năng cho user tạo yêu cầu sửa chữa khi gặp lỗi ngoài kế hoạch","Bảo","Cao","Chưa bắt đầu"
"12","Hệ thống Cảnh báo sớm (Early Warnings)","Logic cảnh báo tự động: Thiết bị lỗi quá X lần, tuổi thọ linh kiện sắp rữa","Bảo","Cao","Chưa bắt đầu"
"13","Hệ thống Cảnh báo sớm (Early Warnings)","Popup / Alert báo động các vấn đề tiềm ẩn hỏng hóc nặng","Bảo","Trung bình","Chưa bắt đầu"
"14","Dashboard & Tổng quan UI","Giao diện biểu đồ trạng thái thiết bị, số việc cần làm định kỳ","Bảo","Cao","Chưa bắt đầu"
"15","Báo cáo & Thống kê","Kết xuất báo cáo Excel/PDF về hiệu suất và tình hình chi tiêu bảo trì","Bảo","Trung bình","Chưa bắt đầu"
"16","Testing, Fix Bug & Triển khai","Kiểm thử các chức năng chéo nhau, tối ưu code và đưa lên server","Khánh, Phúc, Bảo","Cao","Chưa bắt đầu"
